dataset,model,model_short,fingerprint,protocol,fold,n_features,n_nonzero,n_positive_importance,total_importance_raw,total_importance_positive,cumulative_top_10,fraction_top_10,cumulative_top_20,fraction_top_20,cumulative_top_50,fraction_top_50,cumulative_top_100,fraction_top_100,cumulative_top_150,fraction_top_150,cumulative_top_200,fraction_top_200,model_order,fingerprint_order,protocol_order,dataset_order
hiv,Logistic Regression,LR,RDKit desc,OOD holdout,1,217,213,213,0.9999999999999886,0.9999999999999886,0.1503588994946985,0.150359,0.26467619072933374,0.264676,0.5226617639734601,0.522662,0.7939235748274293,0.793924,0.9399620484691296,0.939962,0.9962803544664344,0.99628,1,2,0,1
hiv,Logistic Regression,LR,RDKit desc,OOD holdout,2,217,215,215,0.9999999999999889,0.9999999999999889,0.16823857653517468,0.168239,0.2860142318945391,0.286014,0.538369446764223,0.538369,0.798963219283786,0.798963,0.9413368005376717,0.941337,0.996186705805112,0.996187,1,2,0,1
hiv,Logistic Regression,LR,RDKit desc,OOD holdout,3,217,215,215,0.9999999999999898,0.9999999999999898,0.18430380038068,0.184304,0.2997916944167961,0.299792,0.5547025590011788,0.554703,0.8165673709428786,0.816567,0.9468703130960464,0.94687,0.9970892769270758,0.997089,1,2,0,1
hiv,Logistic Regression,LR,RDKit desc,Random shuffle,1,217,179,179,0.9999999999999908,0.9999999999999908,0.24266456939199402,0.242665,0.37981395984539756,0.379814,0.6596350581162026,0.659635,0.8926221595863092,0.892622,0.9884944897199222,0.988494,0.9999999999999909,1.0,1,2,1,1
hiv,Logistic Regression,LR,RDKit desc,Random shuffle,2,217,138,138,0.9999999999999928,0.9999999999999928,0.28139812210737003,0.281398,0.43966914243011734,0.439669,0.733642603052775,0.733643,0.961962665219573,0.961963,0.9999999999999928,1.0,0.9999999999999927,1.0,1,2,1,1
hiv,Logistic Regression,LR,RDKit desc,Random shuffle,3,217,193,193,0.9999999999999905,0.9999999999999905,0.2046787352455911,0.204679,0.3217807590042471,0.321781,0.5968873698548278,0.596887,0.8540826859434277,0.854083,0.9703530808064879,0.970353,0.9999999999999905,1.0,1,2,1,1
hiv,Linear SVM,SVM,ECFP4,OOD holdout,1,1024,1024,1024,0.9999999999999525,0.9999999999999525,0.0381787102957868,0.038179,0.0700189189347353,0.070019,0.1492029910950575,0.149203,0.25989403065122024,0.259894,0.35544210487211536,0.355442,0.4399153782596651,0.439915,2,0,0,1
hiv,Linear SVM,SVM,ECFP4,OOD holdout,2,1024,1024,1024,0.9999999999999513,0.9999999999999513,0.0376370751225693,0.037637,0.0701540605492329,0.070154,0.1496101632147475,0.14961,0.2595909790137997,0.259591,0.3547859668961985,0.354786,0.4390974410645526,0.439097,2,0,0,1
hiv,Linear SVM,SVM,ECFP4,OOD holdout,3,1024,1024,1024,0.9999999999999512,0.9999999999999512,0.043057140145061304,0.043057,0.0770306784354706,0.077031,0.1616831188666161,0.161683,0.2697450641211579,0.269745,0.3607218606617728,0.360722,0.44166109370193185,0.441661,2,0,0,1
hiv,Linear SVM,SVM,ECFP4,Random shuffle,1,1024,1024,1024,0.9999999999999515,0.9999999999999515,0.06065237887857711,0.060652,0.097138918879009,0.097139,0.1831294163270498,0.183129,0.29344391711405543,0.293444,0.3865241182323385,0.386524,0.468099421506067,0.468099,2,0,1,1
