dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,model_order,fingerprint_order,protocol_order,dataset_order
hiv,HIV,Decision Tree,DT,ECFP4,OOD holdout,3,0.08304657982782068,0.5066,0.0257,0.05734657982782068,0.48090000000000005,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_ecfp4,ecfp4,1024,15.0,419.0,210.0,174.0,0.169921875,entropy,15.0,sqrt,5.0,10.0,0.0001,balanced,8.413793103448276,3.410773074933023,0.0,14.0,,,,,,,,,,,,,,,0,0,0,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,1,0.2967800990973551,0.3599,0.0447,0.25208009909735507,0.3152,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,8.0,175.0,88.0,79.0,0.0771484375,entropy,8.0,sqrt,5.0,10.0,0.0,,5.025316455696203,1.6986568300978486,0.0,7.0,,,,,,,,,,,,,,,0,0,1,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,2,0.2652444328169946,0.3601,0.0934,0.17184443281699463,0.2667,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,10.0,167.0,84.0,80.0,0.078125,entropy,10.0,sqrt,5.0,20.0,0.0,,5.9,2.222611077089287,0.0,9.0,,,,,,,,,,,,,,,0,0,1,1
hiv,HIV,Decision Tree,DT,ECFP4,Random shuffle,3,0.3596805739736587,0.5079,0.0297,0.3299805739736587,0.4782,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_ecfp4,ecfp4,1024,15.0,463.0,232.0,176.0,0.171875,entropy,15.0,sqrt,5.0,10.0,0.0,,8.5,3.3354160160315836,0.0,14.0,,,,,,,,,,,,,,,0,0,1,1
hiv,HIV,Decision Tree,DT,MACCS,OOD holdout,1,0.1218357216539894,0.2458,0.147,-0.025164278346010593,0.0988,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_maccs,maccs,167,8.0,173.0,87.0,70.0,0.41916167664670656,entropy,8.0,log2,5.0,50.0,0.0001,,4.885714285714286,1.6694127037704622,0.0,7.0,,,,,,,,,,,,,,,0,1,0,1
hiv,HIV,Decision Tree,DT,MACCS,OOD holdout,2,0.20830243617657085,0.3699,0.0613,0.14700243617657086,0.3086,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_maccs,maccs,167,15.0,537.0,269.0,114.0,0.6826347305389222,entropy,15.0,sqrt,20.0,10.0,0.0,,7.508771929824562,3.255887013738285,0.0,14.0,,,,,,,,,,,,,,,0,1,0,1
hiv,HIV,Decision Tree,DT,MACCS,OOD holdout,3,0.20816330837922223,0.418,0.025,0.18316330837922223,0.39299999999999996,DecisionTreeClassifier,dt_hiv_hi_inner_ood_holdout_maccs,maccs,167,10.0,413.0,207.0,110.0,0.6586826347305389,gini,10.0,sqrt,10.0,50.0,0.0,balanced,6.054545454545455,2.0575199706812244,0.0,9.0,,,,,,,,,,,,,,,0,1,0,1
hiv,HIV,Decision Tree,DT,MACCS,Random shuffle,1,0.27345601221758686,0.5261,0.0847,0.18875601221758687,0.4414,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_maccs,maccs,167,15.0,945.0,473.0,138.0,0.8263473053892215,entropy,15.0,sqrt,5.0,20.0,0.0,balanced,6.434782608695652,2.392489824730018,0.0,14.0,,,,,,,,,,,,,,,0,1,1,1
hiv,HIV,Decision Tree,DT,MACCS,Random shuffle,2,0.28515187381499896,0.526,0.0783,0.20685187381499898,0.44770000000000004,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_maccs,maccs,167,15.0,825.0,413.0,139.0,0.8323353293413174,entropy,15.0,sqrt,5.0,10.0,0.0,,7.381294964028777,2.9877343584143254,0.0,14.0,,,,,,,,,,,,,,,0,1,1,1
hiv,HIV,Decision Tree,DT,MACCS,Random shuffle,3,0.3469076360843929,0.4914,0.024,0.3229076360843929,0.4674,DecisionTreeClassifier,dt_hiv_hi_random_shuffle_maccs,maccs,167,10.0,535.0,268.0,121.0,0.7245508982035929,entropy,10.0,sqrt,5.0,10.0,0.0,,5.892561983471074,2.0033098764380117,0.0,9.0,,,,,,,,,,,,,,,0,1,1,1
