dataset,model,fingerprint,fold,top_k,n_overlap,overlap_percent
sol,Decision Tree,MACCS,3,20,3,15.0
sol,Decision Tree,MACCS,3,50,22,44.0
sol,Decision Tree,MACCS,3,100,73,73.0
sol,Decision Tree,MACCS,3,150,137,91.33
sol,Decision Tree,MACCS,3,200,167,83.5
sol,Linear SVM,ECFP4,1,10,10,100.0
sol,Linear SVM,ECFP4,1,20,20,100.0
sol,Linear SVM,ECFP4,1,50,50,100.0
sol,Linear SVM,ECFP4,1,100,100,100.0
sol,Linear SVM,ECFP4,1,150,150,100.0
sol,Linear SVM,ECFP4,1,200,200,100.0
sol,Linear SVM,ECFP4,2,10,9,90.0
sol,Linear SVM,ECFP4,2,20,17,85.0
sol,Linear SVM,ECFP4,2,50,37,74.0
sol,Linear SVM,ECFP4,2,100,81,81.0
sol,Linear SVM,ECFP4,2,150,123,82.0
sol,Linear SVM,ECFP4,2,200,166,83.0
sol,Linear SVM,ECFP4,3,10,10,100.0
sol,Linear SVM,ECFP4,3,20,20,100.0
sol,Linear SVM,ECFP4,3,50,50,100.0
sol,Linear SVM,ECFP4,3,100,100,100.0
sol,Linear SVM,ECFP4,3,150,150,100.0
sol,Linear SVM,ECFP4,3,200,200,100.0
sol,Linear SVM,MACCS,1,10,4,40.0
sol,Linear SVM,MACCS,1,20,11,55.0
sol,Linear SVM,MACCS,1,50,32,64.0
sol,Linear SVM,MACCS,1,100,76,76.0
sol,Linear SVM,MACCS,1,150,146,97.33
sol,Linear SVM,MACCS,1,200,167,83.5
sol,Linear SVM,MACCS,2,10,6,60.0
sol,Linear SVM,MACCS,2,20,15,75.0
sol,Linear SVM,MACCS,2,50,39,78.0
sol,Linear SVM,MACCS,2,100,84,84.0
sol,Linear SVM,MACCS,2,150,148,98.67
sol,Linear SVM,MACCS,2,200,167,83.5
sol,Linear SVM,MACCS,3,10,6,60.0
sol,Linear SVM,MACCS,3,20,13,65.0
sol,Linear SVM,MACCS,3,50,38,76.0
sol,Linear SVM,MACCS,3,100,87,87.0
sol,Linear SVM,MACCS,3,150,146,97.33
sol,Linear SVM,MACCS,3,200,167,83.5
sol,Logistic Regression,ECFP4,1,10,10,100.0
sol,Logistic Regression,ECFP4,1,20,20,100.0
sol,Logistic Regression,ECFP4,1,50,50,100.0
sol,Logistic Regression,ECFP4,1,100,100,100.0
sol,Logistic Regression,ECFP4,1,150,150,100.0
sol,Logistic Regression,ECFP4,1,200,200,100.0
sol,Logistic Regression,ECFP4,2,10,7,70.0
sol,Logistic Regression,ECFP4,2,20,16,80.0
sol,Logistic Regression,ECFP4,2,50,43,86.0
sol,Logistic Regression,ECFP4,2,100,88,88.0
sol,Logistic Regression,ECFP4,2,150,117,78.0
sol,Logistic Regression,ECFP4,2,200,129,64.5
sol,Logistic Regression,ECFP4,3,10,5,50.0
sol,Logistic Regression,ECFP4,3,20,13,65.0
sol,Logistic Regression,ECFP4,3,50,36,72.0
sol,Logistic Regression,ECFP4,3,100,78,78.0
sol,Logistic Regression,ECFP4,3,150,124,82.67
sol,Logistic Regression,ECFP4,3,200,173,86.5
sol,Logistic Regression,MACCS,1,10,9,90.0
sol,Logistic Regression,MACCS,1,20,17,85.0
sol,Logistic Regression,MACCS,1,50,45,90.0
sol,Logistic Regression,MACCS,1,100,83,83.0
sol,Logistic Regression,MACCS,1,150,135,90.0
sol,Logistic Regression,MACCS,1,200,167,83.5
sol,Logistic Regression,MACCS,2,10,0,0.0
sol,Logistic Regression,MACCS,2,20,4,20.0
sol,Logistic Regression,MACCS,2,50,23,46.0
sol,Logistic Regression,MACCS,2,100,67,67.0
sol,Logistic Regression,MACCS,2,150,137,91.33
sol,Logistic Regression,MACCS,2,200,167,83.5
sol,Logistic Regression,MACCS,3,10,7,70.0
sol,Logistic Regression,MACCS,3,20,17,85.0
sol,Logistic Regression,MACCS,3,50,47,94.0
sol,Logistic Regression,MACCS,3,100,90,90.0
sol,Logistic Regression,MACCS,3,150,134,89.33
sol,Logistic Regression,MACCS,3,200,167,83.5
sol,Logistic Regression,RDKit desc,1,10,9,90.0
sol,Logistic Regression,RDKit desc,1,20,15,75.0
sol,Logistic Regression,RDKit desc,1,50,42,84.0
sol,Logistic Regression,RDKit desc,1,100,86,86.0
sol,Logistic Regression,RDKit desc,1,150,120,80.0
sol,Logistic Regression,RDKit desc,1,200,184,92.0
sol,Logistic Regression,RDKit desc,2,10,3,30.0
sol,Logistic Regression,RDKit desc,2,20,12,60.0
sol,Logistic Regression,RDKit desc,2,50,36,72.0
sol,Logistic Regression,RDKit desc,2,100,81,81.0
sol,Logistic Regression,RDKit desc,2,150,126,84.0
sol,Logistic Regression,RDKit desc,2,200,185,92.5
sol,Logistic Regression,RDKit desc,3,10,4,40.0
sol,Logistic Regression,RDKit desc,3,20,7,35.0
sol,Logistic Regression,RDKit desc,3,50,23,46.0
sol,Logistic Regression,RDKit desc,3,100,64,64.0
sol,Logistic Regression,RDKit desc,3,150,119,79.33
sol,Logistic Regression,RDKit desc,3,200,199,99.5
