dataset,dataset_label,model,model_short,fingerprint,protocol,fold,inner_pr_auc,train_pr_auc,test_pr_auc,inner_test_gap,train_test_gap,model_class,model_name,fp_type,n_features,effective_depth,n_nodes,n_leaves,n_features_used,used_feature_fraction,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,ccp_alpha,class_weight,feature_min_depth_mean,feature_min_depth_std,feature_min_depth_min,feature_min_depth_max,coefficient_shape,n_coefficients,n_nonzero_coefficients,sparsity,l1_norm,l2_norm,approx_margin,intercept,C,penalty,l1_ratio,dual,n_support_per_class,n_support_total,dataset_order,model_order,fingerprint_order,protocol_order
sol,Sol,Logistic Regression,LR,ECFP4,OOD holdout,2,0.49072771801940407,0.6969,0.5069,-0.01617228198059595,0.18999999999999995,LogisticRegression,lr_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,131.0,0.8720703125,24.176530942141518,2.729906469696932,0.3663129162483789,[-1.4273758957876104],0.1,elasticnet,0.5,False,,,2,1,0,0
sol,Sol,Logistic Regression,LR,ECFP4,OOD holdout,3,0.5408739424802318,0.9437,0.4204,0.1204739424802318,0.5233,LogisticRegression,lr_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,428.0,0.58203125,120.36164931947654,7.479090223920533,0.13370610195364122,[-4.363229965765284],0.5,elasticnet,0.5,False,,,2,1,0,0
sol,Sol,Logistic Regression,LR,ECFP4,Random shuffle,1,0.5576967717464343,0.8502,0.5057,0.051996771746434245,0.3444999999999999,LogisticRegression,lr_sol_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,68.55344853768841,2.8953086702591464,0.34538631762204974,[-2.7092086146858554],0.05,elasticnet,0.0,False,,,2,1,0,1
sol,Sol,Logistic Regression,LR,ECFP4,Random shuffle,2,0.5886318007878331,0.8529,0.5271,0.061531800787833046,0.3258,LogisticRegression,lr_sol_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1024.0,0.0,69.21527091969259,2.905230990717827,0.34420670961964345,[-2.6625386275667893],0.05,elasticnet,0.0,False,,,2,1,0,1
sol,Sol,Logistic Regression,LR,ECFP4,Random shuffle,3,0.5967184248346589,0.9135,0.4364,0.16031842483465886,0.47709999999999997,LogisticRegression,lr_sol_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,,,,,,"[1, 1024]",1024.0,1023.0,0.0009765625,104.82378521691197,4.33896980888189,0.23046945336033353,[-3.634445651940849],0.1,elasticnet,0.0,False,,,2,1,0,1
sol,Sol,Linear SVM,SVM,ECFP4,OOD holdout,1,0.4645090190036799,0.7772,0.5082,-0.04369098099632007,0.269,SVC,svm_linear_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,48.08167277816549,2.0547531138614636,0.4866764738079489,[-0.992165749631283],0.01,,,,"[844, 257]",1101.0,2,2,0,0
sol,Sol,Linear SVM,SVM,ECFP4,OOD holdout,2,0.45287699109268786,0.7178,0.5282,-0.07532300890731214,0.1896,SVC,svm_linear_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,31.0958325342778,1.4110170838831833,0.708708641037821,[-0.7330931778497286],0.005,,,,"[923, 259]",1182.0,2,2,0,0
sol,Sol,Linear SVM,SVM,ECFP4,OOD holdout,3,0.520898104517096,0.7794,0.4538,0.06709810451709597,0.3256,SVC,svm_linear_sol_hi_inner_ood_holdout_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1023.0,0.0009765625,46.24434209821288,2.0250456167150865,0.4938160364121293,[-1.3211022917525788],0.01,,,,"[825, 257]",1082.0,2,2,0,0
sol,Sol,Linear SVM,SVM,ECFP4,Random shuffle,1,0.5603910925458687,0.7774,0.5082,0.052191092545868734,0.2692,SVC,svm_linear_sol_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1024.0,0.0,48.081294283005455,2.054739671831424,0.4866796576272279,[-0.9922908612068166],0.01,,,,"[843, 257]",1100.0,2,2,0,1
sol,Sol,Linear SVM,SVM,ECFP4,Random shuffle,2,0.5722079667328912,0.7738,0.5394,0.032807966732891214,0.23440000000000005,SVC,svm_linear_sol_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1023.0,0.0009765625,48.36570419496135,2.051288644679258,0.48749843304298174,[-0.9330439923817211],0.01,,,,"[844, 247]",1091.0,2,2,0,1
sol,Sol,Linear SVM,SVM,ECFP4,Random shuffle,3,0.5834432891410114,0.7795,0.4538,0.12964328914101142,0.3257,SVC,svm_linear_sol_hi_random_shuffle_ecfp4,ecfp4,1024,,,,,,,,,,,,balanced,,,,,"[1, 1024]",1024.0,1023.0,0.0009765625,46.24449470405679,2.0250126565210054,0.4938240740272761,[-1.321080755652502],0.01,,,,"[825, 257]",1082.0,2,2,0,1
